sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
độ ,0.229,60.102,-27.852,218.143,200.097,47.803,73.534,262.563,2,0, --undefined-- , --undefined-- ,6.383,of locally unvoiced frames: 6.383%   (3 / 47),0,0,of voice breaks: 0   (0 seconds / 0.229018 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.878,0.179,12.707,483.544,892.193,3164.547,3701.005
độ ,0.176,63.003,-27.852,207.166,204.083,6.503,186.197,210.989,27,26,4.914,0.212,2.857,of locally unvoiced frames: 2.857%   (1 / 35),0,0,of voice breaks: 0   (0 seconds / 0.176274 seconds),1.74,85.486,0.746,0.376,4.275,0.442,1.14,1.762,4.392,0.962,0.053,18.742,483.544,892.193,3164.547,3701.005
ễ ,0.444,61.756,-11.698,237.639,187.93,72.74,104.652,266.835,2,0, --undefined-- , --undefined-- ,3.03,of locally unvoiced frames: 3.030%   (3 / 99),0,0,of voice breaks: 0   (0 seconds / 0.444099 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.902,0.14,15.992,579.219,2386.55,3061.336,4024.072
ễ ,0.33,59.292,-11.698,223.784,224.516,11.948,199.758,241.472,69,68,4.447,0.248,0,of locally unvoiced frames: 0   (0 / 72),0,0,of voice breaks: 0   (0 seconds / 0.330119 seconds),0.626,27.845,0.241,0.253,1.327,0.117,0.543,0.625,1.38,0.979,0.023,20.417,579.219,2386.55,3061.336,4024.072
ê ,0.43,60.768,-10.194,221.383,220.045,3.625,205.575,224.446,1,0, --undefined-- , --undefined-- ,1.042,of locally unvoiced frames: 1.042%   (1 / 96),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.974,0.052,25.633,459.312,2321.976,2681.153,3764.261
ê ,0.45,62.075,-10.194,216.449,217.061,4.037,197.153,222.391,92,91,4.599,0.07,1,of locally unvoiced frames: 1.000%   (1 / 100),0,0,of voice breaks: 0   (0 seconds / 0.449857 seconds),0.448,20.622,0.222,0.175,1.751,0.163,0.865,0.784,0.979,0.979,0.038,26.296,459.312,2321.976,2681.153,3764.261
ệ ,0.252,61.2,-11.646,215.22,266.343,134.326,193.569,599.754,2,0, --undefined-- , --undefined-- ,13.208,of locally unvoiced frames: 13.208%   (7 / 53),0,0,of voice breaks: 0   (0 seconds / 0.251984 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.882,0.184,12.837,589.323,2276.287,2893.363,3616.906
ệ ,0.173,62.57,-11.646,216.202,204.334,31.707,87.511,218.542,27,25,4.709,0.239,2.941,of locally unvoiced frames: 2.941%   (1 / 34),0,0,of voice breaks: 0   (0 seconds / 0.173127 seconds),1.247,58.7,0.273,0.435,2.244,0.195,0.794,1.168,1.602,0.894,0.156,15.351,589.323,2276.287,2893.363,3616.906
ể ,0.469,60.697,-16.422,165.238,162.472,32.743,68.204,203.482,2,0, --undefined-- , --undefined-- ,2.857,of locally unvoiced frames: 2.857%   (3 / 105),0,0,of voice breaks: 0   (0 seconds / 0.469197 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.938,0.079,15.077,492.646,2382.58,2887.993,4283.656
ể ,0.235,60.548,-16.422,167.355,170.803,14.12,149.351,194.444,36,35,5.886,0.482,0,of locally unvoiced frames: 0   (0 / 49),0,0,of voice breaks: 0   (0 seconds / 0.234767 seconds),1.81,106.54,0.853,0.923,4.857,0.634,1.579,1.607,2.254,0.966,0.038,16.928,492.646,2382.58,2887.993,4283.656
ế ,0.419,61.703,-13.377,186.304,203.317,30.96,171.339,279.908,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 93),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.975,0.031,19.64,469.019,2381.116,2864.526,3900.203
ế ,0.382,60.027,-13.377,180.66,189.969,17.373,173.984,236.27,69,68,5.232,0.485,0,of locally unvoiced frames: 0   (0 / 84),0,0,of voice breaks: 0   (0 seconds / 0.381955 seconds),0.59,30.893,0.195,0.248,1.927,0.175,0.551,0.642,1.09,0.988,0.012,21.111,469.019,2381.116,2864.526,3900.203
ề ,0.537,61.288,-11.035,178.111,178.156,7.269,166.773,191.322,1,0, --undefined-- , --undefined-- ,0.826,of locally unvoiced frames: 0.826%   (1 / 121),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.987,0.018,25.883,496.146,2391.518,2735.378,3869.799
ề ,0.45,61.082,-11.035,181.224,180.169,7.256,165.546,190.824,78,77,5.551,0.231,0,of locally unvoiced frames: 0   (0 / 101),0,0,of voice breaks: 0   (0 seconds / 0.450367 seconds),0.498,27.666,0.214,0.226,2.16,0.214,0.461,0.605,1.299,0.985,0.022,23.938,496.146,2391.518,2735.378,3869.799
TÚT_single ,0.175,64.908,-30.2,263.405,262.553,16.382,221.589,341.236,1,0, --undefined-- , --undefined-- ,2.857,of locally unvoiced frames: 2.857%   (1 / 35),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.939,0.105,20.641,428.646,820.776,3166.46,3803.949
TÚT_single ,0.183,65.207,-30.2,251.474,253.861,5.784,248.457,269.794,40,39,3.925,0.106,0,of locally unvoiced frames: 0   (0 / 36),0,0,of voice breaks: 0   (0 seconds / 0.182882 seconds),0.977,38.342,0.563,0.605,2.131,0.196,0.824,1.047,1.703,0.984,0.018,23.193,428.646,820.776,3166.46,3803.949
TỤT_single ,0.194,65.341,-31.444,198.831,195.492,6.208,185.141,201.616,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 39),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.959,0.056,20.837,399.714,935.86,2910.953,3651.814
TỤT_single ,0.229,63.707,-31.444,194.444,195.044,6.422,185.762,213.028,40,39,5.146,0.153,0,of locally unvoiced frames: 0   (0 / 47),0,0,of voice breaks: 0   (0 seconds / 0.229112 seconds),0.42,21.599,0.182,0.166,3.799,0.344,2.123,1.871,1.922,0.983,0.023,24.161,399.714,935.86,2910.953,3651.814
thề ,0.417,61.015,-18.748,91.309,92.451,5.401,85.531,112.158,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 92),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.975,0.026,18.324,502.106,2248.255,2971.067,4094.997
thề ,0.426,62.959,-18.748,174.213,176.461,12.694,159.266,216.873,71,70,5.695,0.378,0,of locally unvoiced frames: 0   (0 / 95),0,0,of voice breaks: 0   (0 seconds / 0.425752 seconds),0.75,42.721,0.365,0.315,1.68,0.179,0.653,0.665,1.156,0.988,0.013,21.172,502.106,2248.255,2971.067,4094.997
thệ ,0.322,62.184,-16.482,231.229,255.525,142.063,113.05,560.474,3,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 70),1,32.979,of voice breaks: 32.979%   (0.106250 seconds / 0.322177 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.879,0.164,10.687,546.188,2251.802,2863.522,4115.292
thệ ,0.285,63.257,-16.482,219.596,301.285,150.884,189.295,582.92,64,61,3.637,1.415,6.557,of locally unvoiced frames: 6.557%   (4 / 61),0,0,of voice breaks: 0   (0 seconds / 0.285268 seconds),1.579,57.425,0.518,0.58,5.925,1.116,2.683,3.908,6.157,0.89,0.166,13.777,546.188,2251.802,2863.522,4115.292
thễ ,0.5,63.247,-14.563,260.682,253.128,23.574,203.776,282.365,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 113),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.98,0.021,19.89,496.056,2296.798,3013.734,4264.661
thễ ,0.525,60.222,-14.563,119.525,116.528,13.17,81.319,128.727,60,59,8.533,1.059,0,of locally unvoiced frames: 0   (0 / 119),0,0,of voice breaks: 0   (0 seconds / 0.525266 seconds),1.809,154.347,0.945,1.507,8.617,0.892,4.47,5.241,8.396,0.937,0.075,13.816,496.056,2296.798,3013.734,4264.661
thế ,0.503,61.136,-18.57,190.321,202.895,37.335,129.454,309.547,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 113),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.986,0.015,19.962,432.019,2358.992,2857.373,4191.153
thế ,0.438,62.378,-18.57,199.676,208.893,24.708,183.568,261.824,87,86,4.77,0.568,0,of locally unvoiced frames: 0   (0 / 98),0,0,of voice breaks: 0   (0 seconds / 0.437723 seconds),0.829,39.544,0.286,0.238,2.233,0.191,1.154,1.191,1.356,0.987,0.014,21.236,432.019,2358.992,2857.373,4191.153
thể ,0.435,61.596,-19.173,171.092,180.824,29.596,147.746,248.861,2,0, --undefined-- , --undefined-- ,11.34,of locally unvoiced frames: 11.340%   (11 / 97),0,0,of voice breaks: 0   (0 seconds / 0.434743 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.94,0.077,14.421,492.519,2275.896,2868.838,4301.342
thể ,0.341,64.348,-19.173,170.037,181.28,32.841,148.486,259.013,56,55,5.553,0.921,2.703,of locally unvoiced frames: 2.703%   (2 / 74),0,0,of voice breaks: 0   (0 seconds / 0.340875 seconds),1.457,80.898,0.344,0.532,6.091,0.568,1.614,2.375,4.349,0.956,0.049,15.527,492.519,2275.896,2868.838,4301.342
thê ,0.435,64.119,-10.081,224.446,228.877,16.504,210.735,287.05,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 97),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.986,0.015,25.242,469.169,2195.329,2783.258,4029.34
thê ,0.359,62.661,-10.081,217.345,217.149,2.347,212.009,228.114,74,73,4.615,0.067,0,of locally unvoiced frames: 0   (0 / 79),0,0,of voice breaks: 0   (0 seconds / 0.358503 seconds),0.603,27.846,0.288,0.309,2.63,0.31,1.125,1.117,1.332,0.988,0.013,23.589,469.169,2195.329,2783.258,4029.34
đễ ,0.435,64.481,-12.343,254.736,249.005,26.041,193.289,277.343,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 97),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.97,0.034,20.032,500.145,2352.521,3055.211,4041.248
đễ ,0.341,64.352,-12.343,238.098,238.655,14.017,214.064,264.807,76,75,4.179,0.259,0,of locally unvoiced frames: 0   (0 / 74),0,0,of voice breaks: 0   (0 seconds / 0.340967 seconds),0.628,26.25,0.236,0.291,3.374,0.294,1.609,1.774,2.761,0.981,0.019,19.341,500.145,2352.521,3055.211,4041.248
