sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
đả ,0.091,50.181,-13.352,184.871,184.769,4.22,179.181,191.017,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 14),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.985,0.016,19.023,886.524,1955.01,2842.483,4094.419
đả ,0.187,49.625,-13.352,181.368,180.614,5.148,169.552,188.002,22,21,5.573,0.239,18.919,of locally unvoiced frames: 18.919%   (7 / 37),0,0,of voice breaks: 0   (0 seconds / 0.186579 seconds),1.624,90.494,0.624,0.85,7.935,1.044,1.095,1.819,6.726,0.947,0.068,17.642,886.524,1955.01,2842.483,4094.419
đã ,0.262,48.783,-16.573,114.236,114.477,9.901,100.166,126.958,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 55),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.933,0.078,13.821,789.454,1713.412,2830.152,4569.828
đã ,0.233,49.895,-16.573,239.62,236.001,17.036,206.596,258.058,49,48,4.225,0.301,0,of locally unvoiced frames: 0   (0 / 48),0,0,of voice breaks: 0   (0 seconds / 0.233251 seconds),1.562,66.004,0.828,0.781,4.66,0.422,2.32,2.395,3.536,0.97,0.032,16.456,789.454,1713.412,2830.152,4569.828
đá ,0.395,50.21,-20.922,171.459,196.06,41.238,164.374,289.733,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 87),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.967,0.036,16.43,864.792,1793.822,3074.698,4476.049
đá ,0.196,51.518,-20.922,168.201,168.988,4.622,163.333,180.456,30,29,5.899,0.182,0,of locally unvoiced frames: 0   (0 / 40),0,0,of voice breaks: 0   (0 seconds / 0.196029 seconds),0.789,46.529,0.375,0.51,4.019,0.349,1.418,2.295,3.57,0.993,0.007,21.848,864.792,1793.822,3074.698,4476.049
đa ,0.35,51.916,-21.357,191.182,191.823,3.604,180.519,196.621,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 77),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.962,0.044,18.963,856.684,1688.823,2895.71,4564.778
đa ,0.256,52.24,-21.357,93.006,93.076,0.776,91.67,95.171,23,22,10.739,0.099,0,of locally unvoiced frames: 0   (0 / 54),0,0,of voice breaks: 0   (0 seconds / 0.255949 seconds),0.637,68.385,0.258,0.48,5.288,0.464,2.507,2.892,3.211,0.983,0.017,19.543,856.684,1688.823,2895.71,4564.778
đà ,0.371,52.38,-22.593,161.541,161.393,2.79,156.135,173.494,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 82),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.975,0.028,20.065,940.98,1814.755,3135.463,4379.554
đà ,0.307,52.123,-22.593,77.404,78.379,2.406,75.419,83.742,24,23,12.759,0.425,0,of locally unvoiced frames: 0   (0 / 66),0,0,of voice breaks: 0   (0 seconds / 0.306561 seconds),0.978,124.805,0.401,0.508,5.198,0.478,1.872,2.959,8.164,0.971,0.031,17.368,940.98,1814.755,3135.463,4379.554
đạ ,0.094,51.236,-18.399,93.489,87.385,12.062,67.985,98.43,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 15),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.818,0.239,7.075,835.549,1726.113,2822.975,4369.846
đạ ,0.154,51.761,-18.399,92.211,93.452,3.917,91.007,103.665,11,10,10.972,0.315,13.333,of locally unvoiced frames: 13.333%   (4 / 30),0,0,of voice breaks: 0   (0 seconds / 0.154269 seconds),1.933,212.07,0.778,0.631,22.883,2.624,7.792,6.736, --undefined-- ,0.855,0.203,9.659,835.549,1726.113,2822.975,4369.846
độ ,0.112,56.026,-32.382,195.517,194.926,2.578,189.154,198.839,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 19),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.941,0.082,16.75,445.471,865.118,2888.021,3493.312
độ ,0.107,55.904,-32.382,93.012,92.737,0.784,91.551,93.612,8,7,10.788,0.106,0,of locally unvoiced frames: 0   (0 / 18),0,0,of voice breaks: 0   (0 seconds / 0.106549 seconds),0.497,53.656,0.32,0.535,10.748,1.09,1.6,3.979, --undefined-- ,0.958,0.047,15.491,445.471,865.118,2888.021,3493.312
u ,0.392,51.749,-27.307,198.718,181.842,35.409,99.593,206.447,2,0, --undefined-- , --undefined-- ,13.793,of locally unvoiced frames: 13.793%   (12 / 87),0,0,of voice breaks: 0   (0 seconds / 0.391755 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.958,0.056,20.941,264.058,655.675,2890.968,4133.398
u ,0.232,54.248,-27.307,194.91,194.989,3.597,189.968,200.826,41,40,5.139,0.097,0,of locally unvoiced frames: 0   (0 / 48),0,0,of voice breaks: 0   (0 seconds / 0.231644 seconds),0.614,31.544,0.338,0.361,4.955,0.465,2.709,3.293,3.954,0.995,0.005,24.006,264.058,655.675,2890.968,4133.398
