sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
24022_,38.392,43.088,-26.297,204.964,207.102,21.915,92.715,300.057,635,621,4.826,0.581,90.552,of locally unvoiced frames: 90.552%   (4169 / 4604),10,92.054,of voice breaks: 92.054%   (35.341182 seconds / 38.391793 seconds),1.396,67.348,0.596,0.619,6.419,0.875,2.46,3.474,5.822,0.966,0.044,21.918,782.068,1918.859,2971.523,3937.689
24026_đả,0.091,50.181,-13.825,183.292,183.431,4.468,177.599,189.476,12,11,5.47,0.161,0,of locally unvoiced frames: 0   (0 / 7),0,0,of voice breaks: 0   (0 seconds / 0.090789 seconds),1.253,68.55,0.56,0.485,6.525,0.645,1.71,2.345, --undefined-- ,0.975,0.026,16.941,628.019,1795.395,2434.388,3746.951
24030_,3.649,49.728,-24.246,204.604,199.516,25.016,142.078,281.129,333,329,5.025,0.65,53.456,of locally unvoiced frames: 53.456%   (232 / 434),3,43.186,of voice breaks: 43.186%   (1.575890 seconds / 3.649096 seconds),1.228,61.712,0.559,0.613,6.603,0.861,2.632,3.477,6.115,0.973,0.034,23.489,722.793,1884.742,2996.465,3993.147
24034_đả,0.187,49.625,-13.352,181.39,180.532,5.674,169.037,188.07,22,21,5.574,0.239,26.316,of locally unvoiced frames: 26.316%   (5 / 19),0,0,of voice breaks: 0   (0 seconds / 0.186579 seconds),1.617,90.13,0.619,0.842,7.921,1.043,1.064,1.792,6.709,0.931,0.098,15.859,852.687,1871.174,2760.996,3777.33
24038_,4.195,47.749,-24.622,199.046,196.356,21.568,143.57,251.607,305,300,5.136,0.636,63,of locally unvoiced frames: 63.000%   (315 / 500),3,56.994,of voice breaks: 56.994%   (2.390840 seconds / 4.194896 seconds),2.278,117.017,1.12,0.897,8.078,1.167,3.438,4.293,6.942,0.956,0.059,21.813,746.8,1859.063,2994.75,3990.703
24042_đã,0.262,48.783,-17.207,114.779,114.883,10.033,99.553,126.924,28,27,8.675,0.765,0,of locally unvoiced frames: 0   (0 / 28),0,0,of voice breaks: 0   (0 seconds / 0.262393 seconds),1.35,117.07,0.506,0.54,6.546,0.58,2.273,3.523,7.746,0.942,0.065,14.455,842.342,1771.812,2897.515,4150.214
24046_,2.855,48.271,-23.326,190.186,185.97,22.773,99.247,227.092,266,262,5.418,0.824,49.263,of locally unvoiced frames: 49.263%   (167 / 339),3,46.621,of voice breaks: 46.621%   (1.331138 seconds / 2.855240 seconds),1.991,107.846,0.994,1.088,9.181,1.212,4.058,4.567,7.272,0.954,0.062,20.594,637.126,1833.289,2991.103,3966.392
24050_đã,0.233,49.895,-16.573,239.952,236.839,16.408,210.662,257.792,49,48,4.225,0.301,0,of locally unvoiced frames: 0   (0 / 24),0,0,of voice breaks: 0   (0 seconds / 0.233251 seconds),1.564,66.08,0.829,0.782,4.66,0.422,2.32,2.395,3.537,0.971,0.03,16.535,805.348,1705.735,2787.086,4470.976
24054_,4.327,48.586,-24.602,196.808,199.854,56.331,83.951,622.067,337,333,5.059,1.111,60.853,of locally unvoiced frames: 60.853%   (314 / 516),3,56.644,of voice breaks: 56.644%   (2.450906 seconds / 4.326870 seconds),2.276,115.163,1.157,1.11,7.967,1.172,3.267,4.361,6.631,0.957,0.057,20.769,726.38,1906.118,3015.7,3963.212
24058_đá,0.395,50.21,-20.616,171.843,198.547,43.823,164.174,295.725,75,74,5.028,1.03,0,of locally unvoiced frames: 0   (0 / 44),0,0,of voice breaks: 0   (0 seconds / 0.394661 seconds),2.268,114.048,1.144,1.002,8.625,1.052,4.384,4.037,5.316,0.962,0.042,16.201,886.093,1768.01,2712.626,4189.182
