sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
25430_,22.524,45.25,-19.27,210.156,206.91,21.736,71.221,259.903,522,512,4.808,0.661,87.661,of locally unvoiced frames: 87.661%   (1840 / 2099),7,34.5,of voice breaks: 34.500%   (7.770788 seconds / 22.524232 seconds),1.131,54.385,0.508,0.595,5.767,0.713,2.621,3.533,4.203,0.97,0.037,18.005,1103.937,2005.549,3156.153,4170.573
25434_Á_single,0.65,55.231,-9.255,189.796,203.053,24.388,184.505,263.977,126,125,4.917,0.581,0,of locally unvoiced frames: 0   (0 / 57),0,0,of voice breaks: 0   (0 seconds / 0.649987 seconds),1.956,96.191,1.179,0.833,4.419,0.561,2.245,2.263,2.869,0.915,0.157,14.056,973.38,1803.922,2812.159,3725.351
25438_,0.429,27.088,-12.885,591.172,529.509,120.562,319.682,626.698,71,59,2.171,0.945,59.459,of locally unvoiced frames: 59.459%   (22 / 37),0,0,of voice breaks: 0   (0 seconds / 0.428858 seconds),25.64,556.651,14.941,18.005,48.577,4.807,27.76,31.616,33.187,0.676,0.507,3.293,1060.607,1860.076,3011.913,4153.869
25442_Á_single,0.476,56.888,-10.25,181.736,194.094,23.463,177.977,257.49,88,87,5.137,0.589,0,of locally unvoiced frames: 0   (0 / 41),0,0,of voice breaks: 0   (0 seconds / 0.475764 seconds),0.731,37.538,0.338,0.332,3.449,0.337,1.645,1.746,2.111,0.964,0.038,15.097,1000.078,1772.773,2906.54,3950.947
25446_,0.848,29.196,-18.549,385.635,385.635, --undefined-- ,385.635,385.635,5,4,2.828,1.09,97.368,of locally unvoiced frames: 97.368%   (74 / 76),0,0,of voice breaks: 0   (0 seconds / 0.848352 seconds),34.11,964.486, --undefined-- , --undefined-- ,58.802,4.017, --undefined-- , --undefined-- , --undefined-- ,0.648,0.544,2.647,1061.497,1983.99,3202.455,4154.097
25450_À_single,0.658,55,-10.832,181.649,181.618,6.127,172.775,196.88,109,108,5.505,0.229,0,of locally unvoiced frames: 0   (0 / 58),0,0,of voice breaks: 0   (0 seconds / 0.657831 seconds),1.069,58.845,0.511,0.35,3.68,0.396,1.767,1.933,2.076,0.972,0.04,18.481,935.618,1847.985,3046.033,3962.297
25454_,0.424,28.693,-11.647,388.672,400.327,45.49,358.781,465.027,13,11,3.198,1.083,83.333,of locally unvoiced frames: 83.333%   (30 / 36),0,0,of voice breaks: 0   (0 seconds / 0.424209 seconds),13.283,424.813,6.113,4.858,59.636,7.743,37.698,57.574, --undefined-- ,0.627,0.603,2.278,1125.245,1999.791,3210.01,4227.35
25458_À_single,0.621,55.103,-9.59,171.925,173.233,5.335,166.534,186.959,102,101,5.768,0.185,0,of locally unvoiced frames: 0   (0 / 54),0,0,of voice breaks: 0   (0 seconds / 0.620943 seconds),0.424,24.451,0.195,0.188,2.771,0.269,1.432,1.528,1.665,0.984,0.017,19.293,991.829,1839.622,2918.008,4002.928
25462_,0.747,28.354,-18.869,89.79,86.59,14.881,70.37,99.612,5,3,12.412,3.215,89.394,of locally unvoiced frames: 89.394%   (59 / 66),1,4.281,of voice breaks: 4.281%   (0.031991 seconds / 0.747197 seconds),15.099,1874.046, --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.693,0.445,3.557,1095.148,1945.907,3092.178,4142.725
25466_Ả_single,0.678,55.168,-10.993,170.709,174.655,25.093,143.209,240.091,113,112,5.722,0.803,0,of locally unvoiced frames: 0   (0 / 60),0,0,of voice breaks: 0   (0 seconds / 0.678099 seconds),1.332,76.202,0.601,0.68,4.185,0.589,2.02,2.177,2.617,0.94,0.074,12.972,900.295,1689.464,2781.402,4006.659
25470_,0.292,28.316,-14.611,71.761,131.259,119.353,71.225,310.287,9,6,8.84,6.661,79.167,of locally unvoiced frames: 79.167%   (19 / 24),1,66.752,of voice breaks: 66.752%   (0.195042 seconds / 0.292189 seconds),9.84,869.849,6.229, --undefined-- ,27.448,2.491, --undefined-- , --undefined-- , --undefined-- ,0.629,0.613,2.344,1106.528,1982.688,3158.985,4146.809
