sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
ã ,0.307,59.595,-12.902,158.036,160.816,19.853,128.987,191.773,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 66),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.861,0.185,9.054,758.187,1580.291,2607.567,3562.698
ã ,0.268,56.813,-12.902,144.254,148.912,13.421,127.965,174.395,37,36,6.687,0.645,1.754,of locally unvoiced frames: 1.754%   (1 / 57),0,0,of voice breaks: 0   (0 seconds / 0.268151 seconds),1.577,105.48,0.381,0.831,7.883,0.813,2.462,4.328,11.115,0.864,0.228,10.726,758.187,1580.291,2607.567,3562.698
a ,0.427,61.571,-10.317,141.897,142.368,2.753,132.073,146.533,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 95),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.979,0.023,20.021,725.525,1599.038,2665.587,3560.073
a ,0.434,59.988,-10.317,134.595,134.487,1.992,128.725,137.425,56,55,7.446,0.128,0,of locally unvoiced frames: 0   (0 / 97),0,0,of voice breaks: 0   (0 seconds / 0.434184 seconds),0.348,25.931,0.171,0.22,3.41,0.356,0.954,1.324,2.466,0.985,0.016,20.8,725.525,1599.038,2665.587,3560.073
ạ ,0.177,60.953,-10.1,132.282,132.249,1.341,129.86,135.461,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 35),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.927,0.086,12.541,852.177,1598.481,2571.568,3319.605
ạ ,0.224,59.592,-10.1,125.905,124.092,7.794,99.301,131.846,25,24,8.15,0.743,2.174,of locally unvoiced frames: 2.174%   (1 / 46),0,0,of voice breaks: 0   (0 seconds / 0.223513 seconds),2.019,164.525,0.446,0.777,13.527,1.25,4.277,7.538,18.627,0.816,0.329,8.737,852.177,1598.481,2571.568,3319.605
á ,0.336,58.246,-12.285,115.704,132.343,32.872,104.16,208.741,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 73),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.881,0.162,10.847,822.647,1604.643,2643.131,3594.671
á ,0.328,59.966,-12.285,118.092,128.719,20.741,110.022,183.395,41,40,7.658,1.262,0,of locally unvoiced frames: 0   (0 / 71),0,0,of voice breaks: 0   (0 seconds / 0.328491 seconds),1.493,114.331,0.258,0.381,3.915,0.384,1.841,2.627,3.258,0.913,0.102,11.746,822.647,1604.643,2643.131,3594.671
ả ,0.281,60.882,-11.186,109.679,109.909,16.423,75.496,132.387,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 60),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.823,0.253,8.155,877.415,1604.02,2562.481,3645.522
ả ,0.326,58.363,-11.186,105.008,105.394,15.183,83.574,125.068,33,32,9.541,1.442,0,of locally unvoiced frames: 0   (0 / 71),0,0,of voice breaks: 0   (0 seconds / 0.326444 seconds),1.633,155.792,0.365,0.54,10.274,0.919,3.478,5.824,13.944,0.832,0.233,8.5,877.415,1604.02,2562.481,3645.522
