sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
TU_single ,0.256,63.33,-26.572,125.967,125.086,3.027,114.862,128.374,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 54),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.99,0.011,26.278,308.826,690.687,2773.947,3440.171
TU_single ,0.271,63.413,-26.572,124.307,123.401,3.624,111.293,129.362,32,31,8.133,0.308,0,of locally unvoiced frames: 0   (0 / 58),0,0,of voice breaks: 0   (0 seconds / 0.270853 seconds),0.774,62.927,0.147,0.228,2.816,0.287,0.375,0.492,1.59,0.995,0.005,25.846,308.826,690.687,2773.947,3440.171
TỦ_single ,0.31,57.686,-30.343,93.818,92.617,13.575,60.374,117.197,2,0, --undefined-- , --undefined-- ,8.955,of locally unvoiced frames: 8.955%   (6 / 67),0,0,of voice breaks: 0   (0 seconds / 0.309823 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.881,0.16,10.157,333.869,733.235,2893.775,3624.133
TỦ_single ,0.309,57.043,-30.343,86.123,85.865,14.724,62.896,116.544,26,25,11.613,2.066,1.493,of locally unvoiced frames: 1.493%   (1 / 67),0,0,of voice breaks: 0   (0 seconds / 0.309274 seconds),5.028,583.903,0.936,2.142,12.96,1.208,1.85,3.832,13.229,0.866,0.186,9.426,333.869,733.235,2893.775,3624.133
TỤ_single ,0.092,63.065,-25.394,134.653,134.113,2.352,129.309,137.054,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 15),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.967,0.037,17.856,355.6,781.525,2800.312,3565.203
TỤ_single ,0.099,62.362,-25.394,125.553,125.66,2.919,121.573,129.674,11,10,8.053,0.294,0,of locally unvoiced frames: 0   (0 / 16),0,0,of voice breaks: 0   (0 seconds / 0.098732 seconds),2.121,170.785,0.388,1.246,9.881,1.153,1.727,3.616, --undefined-- ,0.96,0.045,15.52,355.6,781.525,2800.312,3565.203
TÚ_single ,0.28,60.475,-31.23,132.706,151.922,55.987,93.999,252.392,41,40,6.465,2.512,0,of locally unvoiced frames: 0   (0 / 60),0,0,of voice breaks: 0   (0 seconds / 0.280163 seconds),2.756,178.175,0.241,0.489,4.34,0.355,1.107,2.161,5.562,0.961,0.044,17.296,265.981,676.057,2711.881,3568.492
TŨ_single ,0.232,60.943,-30.203,152.355,147.543,36.64,63.696,194.72,2,0, --undefined-- , --undefined-- ,2.083,of locally unvoiced frames: 2.083%   (1 / 48),0,0,of voice breaks: 0   (0 seconds / 0.232079 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.904,0.122,11.588,338.377,792.516,2861.218,3705.153
TŨ_single ,0.241,60.286,-30.203,160.721,144.574,37.645,80.525,194.482,31,30,7.207,2.809,0,of locally unvoiced frames: 0   (0 / 50),0,0,of voice breaks: 0   (0 seconds / 0.241204 seconds),6.654,479.555,3.047,1.528,9.784,1.319,1.992,2.757,13.473,0.87,0.19,12.741,338.377,792.516,2861.218,3705.153
TÙ_single ,0.345,55.937,-32.55,83.894,85.534,5.494,74.152,97.846,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 75),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.981,0.024,22.417,307.791,672.184,2776.215,3687.673
TÙ_single ,0.333,56.607,-32.55,84.238,84.936,6.452,74.976,100.465,28,27,11.788,0.965,0,of locally unvoiced frames: 0   (0 / 72),0,0,of voice breaks: 0   (0 seconds / 0.333220 seconds),1.183,139.411,0.147,0.294,4.594,0.388,0.779,1.189,2.776,0.991,0.009,23.096,307.791,672.184,2776.215,3687.673
TẾ_single ,0.181,59.833,-19.082,92.402,92.748,1.752,90.719,97.579,1,0, --undefined-- , --undefined-- ,0,of locally unvoiced frames: 0   (0 / 36),0,0,of voice breaks: 0   (0 seconds / 0 seconds), --undefined-- , --undefined-- , --undefined-- , --undefined-- , --undefined--, --undefined-- , --undefined-- , --undefined-- , --undefined-- ,0.987,0.013,19.853,422.535,1863.323,2553.084,3448.258
