sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
2556_,47.021,60.484,-17.964,147.407,151.447,25.969,102.088,338.81,603,592,6.601,0.996,91.47,of locally unvoiced frames: 91.470%   (5158 / 5639),10,71.547,of voice breaks: 71.547%   (33.641881 seconds / 47.020975 seconds),2.101,138.696,0.976,1.026,9.118,1.038,3.14,4.541,9.44,0.937,0.095,16.973,813.925,1862.11,2932.3,3905.487
2560_đù,0.238,70.618,-27.349,138.314,136.773,4.543,125.008,141.225,30,29,7.327,0.276,0,of locally unvoiced frames: 0   (0 / 25),0,0,of voice breaks: 0   (0 seconds / 0.237652 seconds),0.693,50.777,0.169,0.214,2.34,0.218,0.749,1.055,1.666,0.991,0.009,23.109,322.011,889.457,2261.811,3103.918
2564_,3.18,65.881,-17.826,138.133,136.666,14.927,96.828,193.535,222,219,7.331,0.82,48.942,of locally unvoiced frames: 48.942%   (185 / 378),2,48.799,of voice breaks: 48.799%   (1.551960 seconds / 3.180323 seconds),1.917,140.539,0.786,0.977,10.258,1.093,2.602,5.007,13.11,0.933,0.099,15.615,550.412,1667.845,2739.277,3715.012
2568_đù,0.2,69.961,-26.265,135.474,134.587,3.878,124.943,139.265,24,23,7.44,0.237,0,of locally unvoiced frames: 0   (0 / 20),0,0,of voice breaks: 0   (0 seconds / 0.199550 seconds),0.687,51.144,0.154,0.212,2.961,0.282,1.054,1.438,2.485,0.986,0.015,22.292,346.841,939.873,2224.066,3138.105
2572_,4.057,63.408,-17.535,142.888,140.838,17.752,109.689,189.372,218,214,7.111,0.942,61.077,of locally unvoiced frames: 61.077%   (295 / 483),3,61.922,of voice breaks: 61.922%   (2.511957 seconds / 4.056637 seconds),1.649,117.285,0.755,0.864,10.393,1.065,2.883,5.184,13.444,0.937,0.086,16.642,685.474,1745.761,2833.51,3786.013
2576_đụ,0.219,71.049,-25.983,139.895,156.624,23.175,130.306,191.964,31,29,6.402,0.946,0,of locally unvoiced frames: 0   (0 / 23),1,6.534,of voice breaks: 6.534%   (0.014310 seconds / 0.219002 seconds),2.654,169.89,1.313,1.206,15.178,1.721,7.973,6.668,10.888,0.839,0.258,10.448,397.832,956.75,2324.958,3222.751
2580_,2.932,64.897,-17.054,144.313,138.976,16.716,92.796,180.459,224,220,7.2,0.911,44.828,of locally unvoiced frames: 44.828%   (156 / 348),3,45.114,of voice breaks: 45.114%   (1.322687 seconds / 2.931868 seconds),1.965,141.494,0.871,0.921,8.673,0.93,2.366,4.205,11.299,0.939,0.085,17.1,595.818,1704.748,2763.881,3782.421
2584_đụ,0.187,67.335,-21.845,129.049,139.458,31.524,96.671,179.319,24,23,7.277,1.703,0,of locally unvoiced frames: 0   (0 / 19),0,0,of voice breaks: 0   (0 seconds / 0.187090 seconds),5.73,416.969,2.78,4.527,11.024,1.656,3.204,4.595,14.955,0.881,0.157,10.944,382.596,956.558,2296.873,3257.747
2588_,4.837,64.343,-17.402,144.014,143.635,18.253,99.423,194.604,228,225,6.972,0.919,67.764,of locally unvoiced frames: 67.764%   (391 / 577),2,67.094,of voice breaks: 67.094%   (3.245070 seconds / 4.836600 seconds),1.666,116.138,0.644,0.858,9.611,0.985,2.796,5.276,13.542,0.931,0.098,15.866,738.312,1807.21,2828.228,3823.915
2592_đũ,0.206,71.074,-24.436,195.249,194.476,11.419,175.31,208.72,36,35,5.154,0.324,0,of locally unvoiced frames: 0   (0 / 21),0,0,of voice breaks: 0   (0 seconds / 0.205933 seconds),1.883,97.074,0.822,0.738,9.481,1.008,2.588,3.8,9.076,0.953,0.054,15.692,391.731,934.373,2388.959,3333.084
2596_,2.614,66.323,-16.839,148.592,144.75,20.853,94.876,205.476,239,236,6.902,1.018,37.419,of locally unvoiced frames: 37.419%   (116 / 310),2,36.805,of voice breaks: 36.805%   (0.962203 seconds / 2.614350 seconds),1.723,118.931,0.69,0.932,9.553,0.985,2.683,5.021,12.499,0.938,0.089,16.751,577.242,1670.477,2728.294,3684.631
2600_đũ,0.187,69.339,-24.03,185.767,184.926,10.436,163.347,197.327,32,31,5.432,0.346,0,of locally unvoiced frames: 0   (0 / 19),0,0,of voice breaks: 0   (0 seconds / 0.186920 seconds),1.878,101.995,0.906,0.738,11.989,1.447,6.584,5.539,8.005,0.942,0.069,14.538,374.106,973.396,2301.632,3369.863
2604_,3.682,64.409,-16.51,147.998,145.305,19.417,112.176,206.809,223,220,6.878,0.937,58.676,of locally unvoiced frames: 58.676%   (257 / 438),2,58.197,of voice breaks: 58.197%   (2.142905 seconds / 3.682164 seconds),1.66,114.179,0.573,0.808,10.305,1.1,2.863,5.416,14.641,0.931,0.095,15.982,662.504,1766.055,2793.183,3790.065
2608_đú,0.185,70.715,-29.191,137.519,140.954,7.549,133.534,156.106,25,24,7.079,0.393,0,of locally unvoiced frames: 0   (0 / 19),0,0,of voice breaks: 0   (0 seconds / 0.184604 seconds),0.932,65.965,0.176,0.309,2.187,0.198,0.58,0.825,2.271,0.99,0.01,22.698,331.458,896.014,2231.936,3140.08
2612_,2.641,66.055,-16.231,149.121,145.122,18.85,91.15,189.649,246,243,6.907,0.934,36.102,of locally unvoiced frames: 36.102%   (113 / 313),2,35.416,of voice breaks: 35.416%   (0.935465 seconds / 2.641379 seconds),1.943,134.179,0.77,0.935,9.256,1.017,2.383,4.422,12.304,0.93,0.1,16.035,582.569,1705.162,2757.514,3660.939
2616_đú,0.192,68.966,-27.712,137.108,140.53,6.207,133.733,151.909,26,25,7.114,0.318,0,of locally unvoiced frames: 0   (0 / 20),0,0,of voice breaks: 0   (0 seconds / 0.192336 seconds),0.782,55.614,0.151,0.245,3.576,0.362,0.715,1.196,2.757,0.988,0.012,21.75,321.828,905.006,2262.218,3188.612
2620_,4.129,63.727,-17.593,151.89,149.427,20.822,111.699,200.864,246,243,6.689,0.956,60.366,of locally unvoiced frames: 60.366%   (297 / 492),2,60.098,of voice breaks: 60.098%   (2.481204 seconds / 4.128579 seconds),1.601,107.103,0.592,0.795,9.351,0.984,2.841,4.909,12.736,0.942,0.079,16.52,641.866,1709.024,2776.635,3740.263
