sound name,total duration,intensity,spectraltilt,median F0,mean F0,sd F0,min F0,max F0,number pulses,number periods,mean periods,sd period,fraction of locally unvoiced frames,fraction,number of voice breaks,degree of voice breaks,degree,jitter local,jitter local abs,jitter rap,jitter ppq5,shimmer local,shimmer local db,shimmer apq3,shimmer apq5,shimmer apq11,mean autocorr,mean NHR,mean HNR,F1,F2,F3,F4
15898_,26.266,53.844,-23.144,131.216,130.822,14.127,95.294,200.185,360,351,7.633,0.833,89.327,of locally unvoiced frames: 89.327%   (2812 / 3148),8,66.216,of voice breaks: 66.216%   (17.392385 seconds / 26.266020 seconds),2.014,153.727,0.767,0.821,8.697,1.069,2.732,3.777,9.206,0.954,0.064,19.308,930.611,1983.683,3021.252,3986.665
15901_tết,0.117,66.322,-19.972,166.068,166.765,5.503,160.363,175.511,17,16,5.975,0.21,0,of locally unvoiced frames: 0   (0 / 11),0,0,of voice breaks: 0   (0 seconds / 0.116763 seconds),0.752,44.941,0.125,0.206,6.334,0.688,0.944,2.136,5.649,0.986,0.014,19.746,461.199,2003.036,2891.889,3923.58
15904_,4.483,55.411,-19.504,128.348,132.923,22.933,99.311,211.027,192,187,7.566,1.169,67.416,of locally unvoiced frames: 67.416%   (360 / 534),3,64.937,of voice breaks: 64.937%   (2.910829 seconds / 4.482555 seconds),2.612,197.619,1.202,1.372,11.674,1.445,4.39,6.48,12.419,0.925,0.11,16.467,767.127,1876.511,2927.515,3896.221
15907_tết,0.107,66.819,-17.844,168.071,167.732,5.363,161.172,175.256,14,13,5.958,0.194,0,of locally unvoiced frames: 0   (0 / 9),0,0,of voice breaks: 0   (0 seconds / 0.106967 seconds),0.862,51.341,0.133,0.312,5.299,0.503,0.82,2.38,9.071,0.981,0.019,17.68,480.002,1950.49,2907.434,4008.767
15910_,3.257,57.513,-20.032,130.087,128.66,17.156,102.887,236.309,190,185,7.767,0.97,53.23,of locally unvoiced frames: 53.230%   (206 / 387),4,50.361,of voice breaks: 50.361%   (1.640127 seconds / 3.256724 seconds),2.595,201.572,1.188,1.116,9.78,1.265,3.18,4.901,12.193,0.935,0.096,17.568,667.787,1774.376,2849.002,3807.86
15913_tệt,0.137,68.285,-18.956,128.006,127.664,8.852,113.315,141.063,15,14,7.869,0.577,0,of locally unvoiced frames: 0   (0 / 13),0,0,of voice breaks: 0   (0 seconds / 0.136890 seconds),1.873,147.417,0.222,0.231,3.717,0.354,0.849,1.182,3.302,0.973,0.029,17.026,360.481,2044.541,2920.361,3757.303
15916_,3.145,56.697,-20.175,123.999,125.158,10.901,104.456,166.176,170,166,7.976,0.759,56.15,of locally unvoiced frames: 56.150%   (210 / 374),3,49.87,of voice breaks: 49.870%   (1.568304 seconds / 3.144764 seconds),3.134,249.946,1.509,1.495,10.653,1.079,3.68,5.34,10.482,0.924,0.122,17.228,705.505,1817.948,2896.328,3817.077
15919_tệt,0.122,66.758,-18.597,130.364,130.119,7.102,119.235,140.015,14,13,7.745,0.479,0,of locally unvoiced frames: 0   (0 / 11),0,0,of voice breaks: 0   (0 seconds / 0.121750 seconds),1.586,122.805,0.269,0.277,3.65,0.331,0.833,0.626,1.274,0.986,0.014,19.312,379.71,1967.785,2913.287,3785.583
15922_,4.577,55.402,-20.53,124.025,124.292,9.768,92.078,170.732,192,187,8.054,0.714,65.751,of locally unvoiced frames: 65.751%   (359 / 546),4,66.846,of voice breaks: 66.846%   (3.059746 seconds / 4.577307 seconds),2.855,229.926,1.366,1.219,10.13,1.039,3.734,5.287,11.935,0.939,0.09,17.632,759.42,1857.059,2902.204,3847.308
15925_đề,0.245,66.61,-20.282,117.104,116.503,5.409,101.712,123.386,27,26,8.59,0.448,0,of locally unvoiced frames: 0   (0 / 26),0,0,of voice breaks: 0   (0 seconds / 0.244727 seconds),0.939,80.683,0.248,0.276,3.084,0.335,0.662,0.869,1.094,0.978,0.027,23.191,362.855,2052.962,2771.314,3618.828
15928_,2.72,57.081,-20.773,120.804,122.036,10.981,90.17,165.513,174,170,8.233,0.806,48.916,of locally unvoiced frames: 48.916%   (158 / 323),3,48.002,of voice breaks: 48.002%   (1.305791 seconds / 2.720270 seconds),2.327,191.561,1.085,1.247,11.34,1.166,3.889,5.952,14.46,0.951,0.064,18.904,631.805,1802.275,2884.75,3803.208
15931_đề,0.206,64.942,-17.09,117.221,116.706,2.559,112.997,121.01,23,22,8.571,0.198,0,of locally unvoiced frames: 0   (0 / 21),0,0,of voice breaks: 0   (0 seconds / 0.205935 seconds),0.45,38.546,0.154,0.194,2.054,0.176,0.809,0.831,1.334,0.995,0.005,26.101,325.528,2136.826,2875.415,3673.886
15934_,5.003,56.173,-19.518,124.515,124.716,12.018,88.887,174.591,194,190,8.01,0.777,68.509,of locally unvoiced frames: 68.509%   (409 / 597),3,69.15,of voice breaks: 69.150%   (3.459475 seconds / 5.002870 seconds),1.941,155.487,0.922,0.902,10.565,1.074,3.463,5.761,15.297,0.949,0.07,18.902,781.28,1879.122,2875.983,3867.49
15937_để,0.217,65.462,-18.931,103.54,108.506,13.946,94.01,130.545,23,22,9.177,1.185,0,of locally unvoiced frames: 0   (0 / 23),0,0,of voice breaks: 0   (0 seconds / 0.216811 seconds),1.721,157.932,0.263,0.485,2.809,0.256,0.806,1.454,2.581,0.98,0.021,19.333,410.634,2148.78,2807.438,3659.571
15940_,2.391,58.522,-20.386,122.506,121.2,11.216,92.674,177.355,184,179,8.251,0.835,35.689,of locally unvoiced frames: 35.689%   (101 / 283),4,36.662,of voice breaks: 36.662%   (0.876649 seconds / 2.391178 seconds),2.41,198.805,0.976,1.125,11.195,1.217,3.412,6.309,15.924,0.938,0.089,17.306,527.058,1730.348,2794.933,3704.907
